Medicion;Dist a fuente;Integration time;iacc_type;500;1000;2000;LEV
1;11;10;IACCl;0.269;0.202;0.089;0.186666667
1;11;100;IACCl;0.312;0.193;0.07;0.191666667
1;11;350;IACCl;0.312;0.193;0.07;0.191666667
2;11;10;IACCl;0.309;0.157;0.074;0.18
2;11;100;IACCl;0.309;0.159;0.074;0.180666667
2;11;350;IACCl;0.309;0.159;0.074;0.180666667
3;11;10;IACCl;0.316;0.109;0.136;0.187
3;11;100;IACCl;0.317;0.109;0.136;0.187333333
3;11;350;IACCl;0.317;0.109;0.136;0.187333333
4;11;10;IACCl;0.328;0.13;0.109;0.189
4;11;100;IACCl;0.323;0.13;0.109;0.187333333
4;11;350;IACCl;0.323;0.13;0.109;0.187333333
5;11;10;IACCl;0.328;0.232;0.12;0.226666667
5;11;100;IACCl;0.327;0.231;0.12;0.226
5;11;350;IACCl;0.327;0.231;0.12;0.226
6;18.3;10;IACCl;0.242;0.133;0.151;0.175333333
6;18.3;100;IACCl;0.245;0.132;0.151;0.176
6;18.3;350;IACCl;0.245;0.133;0.152;0.176666667
