measurement	processing_type	filename	filepath	direct_sound_arrival_ms	lf_early	lf_late	dr_ratio
2	omni	Earthworks 1-03.wav	/mnt/Ivan'sDrive/Documents/untref/materias/ima/final/RIRs/objetivas/medicion2/Earthworks 1-03.wav	0.0			-66.65924592689221
2	omni	Earthworks 10-03.wav	/mnt/Ivan'sDrive/Documents/untref/materias/ima/final/RIRs/objetivas/medicion2/Earthworks 10-03.wav	0.0			-70.49012243715966
2	omni	Earthworks 11-03.wav	/mnt/Ivan'sDrive/Documents/untref/materias/ima/final/RIRs/objetivas/medicion2/Earthworks 11-03.wav	0.0			-62.06225438919394
2	omni	Earthworks 12-03.wav	/mnt/Ivan'sDrive/Documents/untref/materias/ima/final/RIRs/objetivas/medicion2/Earthworks 12-03.wav	0.0			-64.74928085823728
2	omni	Earthworks 13-03.wav	/mnt/Ivan'sDrive/Documents/untref/materias/ima/final/RIRs/objetivas/medicion2/Earthworks 13-03.wav	0.0			-72.12583614095686
2	omni	Earthworks 14-03.wav	/mnt/Ivan'sDrive/Documents/untref/materias/ima/final/RIRs/objetivas/medicion2/Earthworks 14-03.wav	0.0			-58.44746255288811
2	omni	Earthworks 2-03.wav	/mnt/Ivan'sDrive/Documents/untref/materias/ima/final/RIRs/objetivas/medicion2/Earthworks 2-03.wav	0.0			-78.96623954408844
2	omni	Earthworks 3-03.wav	/mnt/Ivan'sDrive/Documents/untref/materias/ima/final/RIRs/objetivas/medicion2/Earthworks 3-03.wav	0.0			-70.4751255110859
2	omni	Earthworks 4-03.wav	/mnt/Ivan'sDrive/Documents/untref/materias/ima/final/RIRs/objetivas/medicion2/Earthworks 4-03.wav	0.0			-68.67873980193595
2	omni	Earthworks 5-03.wav	/mnt/Ivan'sDrive/Documents/untref/materias/ima/final/RIRs/objetivas/medicion2/Earthworks 5-03.wav	0.0			-inf
2	omni	Earthworks 6-03.wav	/mnt/Ivan'sDrive/Documents/untref/materias/ima/final/RIRs/objetivas/medicion2/Earthworks 6-03.wav	0.0			-73.43465291187444
2	omni	Earthworks 7-03.wav	/mnt/Ivan'sDrive/Documents/untref/materias/ima/final/RIRs/objetivas/medicion2/Earthworks 7-03.wav	0.0			-70.22873250835335
2	omni	Earthworks 8-03.wav	/mnt/Ivan'sDrive/Documents/untref/materias/ima/final/RIRs/objetivas/medicion2/Earthworks 8-03.wav	0.0			-72.03606861078356
2	omni	Earthworks 9-03.wav	/mnt/Ivan'sDrive/Documents/untref/materias/ima/final/RIRs/objetivas/medicion2/Earthworks 9-03.wav	0.0			-61.576411140878676
2	ambi	Soundfield 2-03.wav,Soundfield 3-03.wav,Soundfield 4-03.wav,Soundfield 1-03.wav	Soundfield 2-03.wav,Soundfield 3-03.wav,Soundfield 4-03.wav,Soundfield 1-03.wav	0	0.4280306684718832	0.3273980167154781	-inf
3	omni	Earthworks 1-03.wav	/mnt/Ivan'sDrive/Documents/untref/materias/ima/final/RIRs/objetivas/medicion3/Earthworks 1-03.wav	0.0			-67.67862372418088
3	omni	Earthworks 10-03.wav	/mnt/Ivan'sDrive/Documents/untref/materias/ima/final/RIRs/objetivas/medicion3/Earthworks 10-03.wav	0.0			-71.0208026978599
3	omni	Earthworks 11-03.wav	/mnt/Ivan'sDrive/Documents/untref/materias/ima/final/RIRs/objetivas/medicion3/Earthworks 11-03.wav	0.0			-62.89741543238265
3	omni	Earthworks 12-03.wav	/mnt/Ivan'sDrive/Documents/untref/materias/ima/final/RIRs/objetivas/medicion3/Earthworks 12-03.wav	0.0			-66.24027251057748
3	omni	Earthworks 13-03.wav	/mnt/Ivan'sDrive/Documents/untref/materias/ima/final/RIRs/objetivas/medicion3/Earthworks 13-03.wav	0.0			-75.32883554642692
3	omni	Earthworks 14-03.wav	/mnt/Ivan'sDrive/Documents/untref/materias/ima/final/RIRs/objetivas/medicion3/Earthworks 14-03.wav	0.0			-57.17510956967854
3	omni	Earthworks 2-03.wav	/mnt/Ivan'sDrive/Documents/untref/materias/ima/final/RIRs/objetivas/medicion3/Earthworks 2-03.wav	0.0			-78.04885117965749
3	omni	Earthworks 3-03.wav	/mnt/Ivan'sDrive/Documents/untref/materias/ima/final/RIRs/objetivas/medicion3/Earthworks 3-03.wav	0.0			-70.30731858861253
3	omni	Earthworks 4-03.wav	/mnt/Ivan'sDrive/Documents/untref/materias/ima/final/RIRs/objetivas/medicion3/Earthworks 4-03.wav	0.0			-69.68896767956205
3	omni	Earthworks 5-03.wav	/mnt/Ivan'sDrive/Documents/untref/materias/ima/final/RIRs/objetivas/medicion3/Earthworks 5-03.wav	0.0			-76.99033943409702
3	omni	Earthworks 6-03.wav	/mnt/Ivan'sDrive/Documents/untref/materias/ima/final/RIRs/objetivas/medicion3/Earthworks 6-03.wav	0.0			-75.66501174469381
3	omni	Earthworks 7-03.wav	/mnt/Ivan'sDrive/Documents/untref/materias/ima/final/RIRs/objetivas/medicion3/Earthworks 7-03.wav	0.0			-74.39959234801773
3	omni	Earthworks 8-03.wav	/mnt/Ivan'sDrive/Documents/untref/materias/ima/final/RIRs/objetivas/medicion3/Earthworks 8-03.wav	0.0			-69.6678888268054
3	omni	Earthworks 9-03.wav	/mnt/Ivan'sDrive/Documents/untref/materias/ima/final/RIRs/objetivas/medicion3/Earthworks 9-03.wav	0.0			-62.680484928635664
3	ambi	Soundfield 2-03.wav,Soundfield 3-03.wav,Soundfield 4-03.wav,Soundfield 1-03.wav	Soundfield 2-03.wav,Soundfield 3-03.wav,Soundfield 4-03.wav,Soundfield 1-03.wav	0	0.33464406168962385	0.2993919453855104	-76.1054776179781
4	omni	Earthworks 1-03.wav	/mnt/Ivan'sDrive/Documents/untref/materias/ima/final/RIRs/objetivas/medicion4/Earthworks 1-03.wav	0.0			-77.43223896550077
4	omni	Earthworks 10-03.wav	/mnt/Ivan'sDrive/Documents/untref/materias/ima/final/RIRs/objetivas/medicion4/Earthworks 10-03.wav	0.0			-66.9945099264611
4	omni	Earthworks 11-03.wav	/mnt/Ivan'sDrive/Documents/untref/materias/ima/final/RIRs/objetivas/medicion4/Earthworks 11-03.wav	0.0			-inf
4	omni	Earthworks 12-03.wav	/mnt/Ivan'sDrive/Documents/untref/materias/ima/final/RIRs/objetivas/medicion4/Earthworks 12-03.wav	0.0			-64.343676857818
4	omni	Earthworks 13-03.wav	/mnt/Ivan'sDrive/Documents/untref/materias/ima/final/RIRs/objetivas/medicion4/Earthworks 13-03.wav	0.0			-77.82781786678059
4	omni	Earthworks 14-03.wav	/mnt/Ivan'sDrive/Documents/untref/materias/ima/final/RIRs/objetivas/medicion4/Earthworks 14-03.wav	0.0			-72.1424949484158
4	omni	Earthworks 2-03.wav	/mnt/Ivan'sDrive/Documents/untref/materias/ima/final/RIRs/objetivas/medicion4/Earthworks 2-03.wav	0.0			-66.34815152227199
4	omni	Earthworks 3-03.wav	/mnt/Ivan'sDrive/Documents/untref/materias/ima/final/RIRs/objetivas/medicion4/Earthworks 3-03.wav	0.0			-64.46136454524049
4	omni	Earthworks 4-03.wav	/mnt/Ivan'sDrive/Documents/untref/materias/ima/final/RIRs/objetivas/medicion4/Earthworks 4-03.wav	0.0			-72.17353606834705
4	omni	Earthworks 5-03.wav	/mnt/Ivan'sDrive/Documents/untref/materias/ima/final/RIRs/objetivas/medicion4/Earthworks 5-03.wav	0.0			-inf
4	omni	Earthworks 6-03.wav	/mnt/Ivan'sDrive/Documents/untref/materias/ima/final/RIRs/objetivas/medicion4/Earthworks 6-03.wav	0.0			-67.48801700910053
4	omni	Earthworks 7-03.wav	/mnt/Ivan'sDrive/Documents/untref/materias/ima/final/RIRs/objetivas/medicion4/Earthworks 7-03.wav	0.0			-66.56987327578234
4	omni	Earthworks 8-03.wav	/mnt/Ivan'sDrive/Documents/untref/materias/ima/final/RIRs/objetivas/medicion4/Earthworks 8-03.wav	0.0			-65.03690962006226
4	omni	Earthworks 9-03.wav	/mnt/Ivan'sDrive/Documents/untref/materias/ima/final/RIRs/objetivas/medicion4/Earthworks 9-03.wav	0.0			-71.42093903156456
4	ambi	Soundfield 2-03.wav,Soundfield 3-03.wav,Soundfield 4-03.wav,Soundfield 1-03.wav	Soundfield 2-03.wav,Soundfield 3-03.wav,Soundfield 4-03.wav,Soundfield 1-03.wav	0	0.4033832420969723	0.26133109652890313	-73.71857033327633
5	omni	Earthworks 1-03.wav	/mnt/Ivan'sDrive/Documents/untref/materias/ima/final/RIRs/objetivas/medicion5/Earthworks 1-03.wav	0.0			-62.723982550277206
5	omni	Earthworks 10-03.wav	/mnt/Ivan'sDrive/Documents/untref/materias/ima/final/RIRs/objetivas/medicion5/Earthworks 10-03.wav	0.0			-68.88772319627189
5	omni	Earthworks 11-03.wav	/mnt/Ivan'sDrive/Documents/untref/materias/ima/final/RIRs/objetivas/medicion5/Earthworks 11-03.wav	0.0			-71.41482762238299
5	omni	Earthworks 12-03.wav	/mnt/Ivan'sDrive/Documents/untref/materias/ima/final/RIRs/objetivas/medicion5/Earthworks 12-03.wav	0.0			-68.17388128450915
5	omni	Earthworks 13-03.wav	/mnt/Ivan'sDrive/Documents/untref/materias/ima/final/RIRs/objetivas/medicion5/Earthworks 13-03.wav	0.0			-inf
5	omni	Earthworks 14-03.wav	/mnt/Ivan'sDrive/Documents/untref/materias/ima/final/RIRs/objetivas/medicion5/Earthworks 14-03.wav	0.0			-67.08432185268234
5	omni	Earthworks 2-03.wav	/mnt/Ivan'sDrive/Documents/untref/materias/ima/final/RIRs/objetivas/medicion5/Earthworks 2-03.wav	0.0			-66.4537998218721
5	omni	Earthworks 3-03.wav	/mnt/Ivan'sDrive/Documents/untref/materias/ima/final/RIRs/objetivas/medicion5/Earthworks 3-03.wav	0.0			-inf
5	omni	Earthworks 4-03.wav	/mnt/Ivan'sDrive/Documents/untref/materias/ima/final/RIRs/objetivas/medicion5/Earthworks 4-03.wav	0.0			-74.48315611148467
5	omni	Earthworks 5-03.wav	/mnt/Ivan'sDrive/Documents/untref/materias/ima/final/RIRs/objetivas/medicion5/Earthworks 5-03.wav	0.0			-70.19383475531822
5	omni	Earthworks 6-03.wav	/mnt/Ivan'sDrive/Documents/untref/materias/ima/final/RIRs/objetivas/medicion5/Earthworks 6-03.wav	0.0			-inf
